Ref,Val,Package,PosX,PosY,Rot,Side
"D1","~","Diode_DO-35",97.631250,-56.197500,90.000000,bottom
"D2","~","Diode_DO-35",116.681250,-56.197500,90.000000,bottom
"D3","~","Diode_DO-35",135.731250,-56.197500,90.000000,bottom
"D4","~","Diode_DO-35",97.631250,-75.247500,90.000000,bottom
"D5","~","Diode_DO-35",116.681250,-75.247500,90.000000,bottom
"D6","~","Diode_DO-35",135.731250,-75.247500,90.000000,bottom
"D7","~","Diode_DO-35",154.781250,-75.247500,90.000000,bottom
"D8","~","Diode_DO-35",154.781250,-56.197500,90.000000,bottom
"D9","~","Diode_DO-35",97.631250,-37.147500,90.000000,bottom
"D10","~","Diode_DO-35",173.831250,-94.297500,90.000000,bottom
"D11","~","Diode_DO-35",78.581250,-56.197500,90.000000,bottom
"D12","~","Diode_DO-35",78.581250,-75.247500,90.000000,bottom
"S1","~","MX_PCB_1.00u",87.788750,-52.387500,0.000000,top
"S2","~","MX_PCB_1.00u",106.838750,-52.387500,0.000000,top
"S3","~","MX_PCB_1.00u",125.888750,-52.387500,0.000000,top
"S4","~","MX_PCB_1.00u",87.788750,-71.437500,0.000000,top
"S5","~","MX_PCB_1.00u",106.838750,-71.437500,0.000000,top
"S6","~","MX_PCB_1.00u",125.888750,-71.437500,0.000000,top
"S7","~","MX_PCB_1.00u",144.938750,-71.437500,0.000000,top
"S8","~","MX_PCB_1.00u",144.938750,-52.387500,0.000000,top
"S9","~","MX_PCB_1.00u",87.788750,-33.337500,0.000000,top
"S10","~","MX_PCB_1.00u",163.988750,-90.487500,0.000000,top
"S11","~","MX_PCB_1.00u",68.738750,-52.387500,0.000000,top
"S12","~","MX_PCB_1.00u",68.738750,-71.437500,0.000000,top
"U1","Arduino_Pro_Micro","Arduino_Pro_Micro",167.163750,-62.547500,0.000000,top
