pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
97.63125,-56.1975,90.0,bottom,D1,,,Diode_DO-35,~,tht
173.83125,-94.2975,90.0,bottom,D10,,,Diode_DO-35,~,tht
78.58125,-56.1975,90.0,bottom,D11,,,Diode_DO-35,~,tht
78.58125,-75.2475,90.0,bottom,D12,,,Diode_DO-35,~,tht
116.68125,-56.1975,90.0,bottom,D2,,,Diode_DO-35,~,tht
135.73125,-56.1975,90.0,bottom,D3,,,Diode_DO-35,~,tht
97.63125,-75.2475,90.0,bottom,D4,,,Diode_DO-35,~,tht
116.68125,-75.2475,90.0,bottom,D5,,,Diode_DO-35,~,tht
135.73125,-75.2475,90.0,bottom,D6,,,Diode_DO-35,~,tht
154.78125,-75.2475,90.0,bottom,D7,,,Diode_DO-35,~,tht
154.78125,-56.1975,90.0,bottom,D8,,,Diode_DO-35,~,tht
97.63125,-37.1475,90.0,bottom,D9,,,Diode_DO-35,~,tht
87.78875,-52.3875,0.0,top,S1,,,MX_PCB_1.00u,~,tht
163.98875,-90.4875,0.0,top,S10,,,MX_PCB_1.00u,~,tht
68.73875,-52.3875,0.0,top,S11,,,MX_PCB_1.00u,~,tht
68.73875,-71.4375,0.0,top,S12,,,MX_PCB_1.00u,~,tht
106.83875,-52.3875,0.0,top,S2,,,MX_PCB_1.00u,~,tht
125.88875,-52.3875,0.0,top,S3,,,MX_PCB_1.00u,~,tht
87.78875,-71.4375,0.0,top,S4,,,MX_PCB_1.00u,~,tht
106.83875,-71.4375,0.0,top,S5,,,MX_PCB_1.00u,~,tht
125.88875,-71.4375,0.0,top,S6,,,MX_PCB_1.00u,~,tht
144.93875,-71.4375,0.0,top,S7,,,MX_PCB_1.00u,~,tht
144.93875,-52.3875,0.0,top,S8,,,MX_PCB_1.00u,~,tht
87.78875,-33.3375,0.0,top,S9,,,MX_PCB_1.00u,~,tht
167.16375,-62.5475,0.0,top,U1,,,Arduino_Pro_Micro,Arduino_Pro_Micro,tht
