Designator,Mid X,Mid Y,Rotation,Layer
D1,97.63125,-52.3875,90.0,bottom
D10,173.83125,-90.4875,90.0,bottom
D11,78.58125,-52.3875,90.0,bottom
D12,78.58125,-71.4375,90.0,bottom
D2,116.68125,-52.3875,90.0,bottom
D3,135.73125,-52.3875,90.0,bottom
D4,97.63125,-71.4375,90.0,bottom
D5,116.68125,-71.4375,90.0,bottom
D6,135.73125,-71.4375,90.0,bottom
D7,154.78125,-71.4375,90.0,bottom
D8,154.78125,-52.3875,90.0,bottom
D9,97.63125,-33.3375,90.0,bottom
S1,87.78875,-50.2225,0.0,top
S10,163.98875,-88.3225,0.0,top
S11,68.73875,-50.2225,0.0,top
S12,68.73875,-69.2725,0.0,top
S2,106.83875,-50.2225,0.0,top
S3,125.88875,-50.2225,0.0,top
S4,87.78875,-69.2725,0.0,top
S5,106.83875,-69.2725,0.0,top
S6,125.88875,-69.2725,0.0,top
S7,144.93875,-69.2725,0.0,top
S8,144.93875,-50.2225,0.0,top
S9,87.78875,-31.1725,0.0,top
U1,167.16375,-62.5475,0.0,top
